,continued_claims_monthly
1993-08-31,2803250.0
1993-09-30,2826000.0
1993-10-31,2825000.0
1993-11-30,2800750.0
1993-12-31,2762250.0
1994-01-31,2709600.0
1994-02-28,2792500.0
1994-03-31,2754500.0
1994-04-30,2736600.0
1994-05-31,2752750.0
1994-06-30,2720000.0
1994-07-31,2659600.0
1994-08-31,2647500.0
1994-09-30,2629250.0
1994-10-31,2574000.0
1994-11-30,2532250.0
1994-12-31,2528800.0
1995-01-31,2512500.0
1995-02-28,2522500.0
1995-03-31,2531250.0
1995-04-30,2519400.0
1995-05-31,2573000.0
1995-06-30,2606750.0
1995-07-31,2622800.0
1995-08-31,2607250.0
1995-09-30,2626800.0
1995-10-31,2663250.0
1995-11-30,2672000.0
1995-12-31,2612600.0
1996-01-31,2648750.0
1996-02-29,2692750.0
1996-03-31,2685000.0
1996-04-30,2633500.0
1996-05-31,2590500.0
1996-06-30,2548000.0
1996-07-31,2490000.0
1996-08-31,2494400.0
1996-09-30,2473000.0
1996-10-31,2460250.0
1996-11-30,2428600.0
1996-12-31,2487750.0
1997-01-31,2487750.0
1997-02-28,2415000.0
1997-03-31,2347600.0
1997-04-30,2324250.0
1997-05-31,2302800.0
1997-06-30,2295500.0
1997-07-31,2269500.0
1997-08-31,2272400.0
1997-09-30,2234750.0
1997-10-31,2215500.0
1997-11-30,2215000.0
1997-12-31,2235250.0
1998-01-31,2275200.0
1998-02-28,2224250.0
1998-03-31,2221750.0
1998-04-30,2182500.0
1998-05-31,2134600.0
1998-06-30,2214250.0
1998-07-31,2333750.0
1998-08-31,2237600.0
1998-09-30,2153000.0
1998-10-31,2164400.0
1998-11-30,2203750.0
1998-12-31,2220250.0
1999-01-31,2287200.0
1999-02-28,2240500.0
1999-03-31,2227000.0
1999-04-30,2237500.0
1999-05-31,2214400.0
1999-06-30,2192250.0
1999-07-31,2193200.0
1999-08-31,2180250.0
1999-09-30,2162000.0
1999-10-31,2102800.0
1999-11-30,2085750.0
1999-12-31,2097250.0
2000-01-31,2109800.0
2000-02-29,2147500.0
2000-03-31,2079000.0
2000-04-30,2015400.0
2000-05-31,1989500.0
2000-06-30,2028250.0
2000-07-31,2085600.0
2000-08-31,2117250.0
2000-09-30,2119600.0
2000-10-31,2116250.0
2000-11-30,2211250.0
2000-12-31,2306400.0
2001-01-31,2395750.0
2001-02-28,2486500.0
2001-03-31,2585400.0
2001-04-30,2697250.0
2001-05-31,2819250.0
2001-06-30,2947400.0
2001-07-31,3030750.0
2001-08-31,3120000.0
2001-09-30,3262200.0
2001-10-31,3527500.0
2001-11-30,3656500.0
2001-12-31,3589400.0
2002-01-31,3550500.0
2002-02-28,3554250.0
2002-03-31,3610800.0
2002-04-30,3689250.0
2002-05-31,3712000.0
2002-06-30,3635200.0
2002-07-31,3504250.0
2002-08-31,3516800.0
2002-09-30,3555000.0
2002-10-31,3555750.0
2002-11-30,3482400.0
2002-12-31,3482750.0
2003-01-31,3414500.0
2003-02-28,3437000.0
2003-03-31,3540800.0
2003-04-30,3629750.0
2003-05-31,3719200.0
2003-06-30,3701500.0
2003-07-31,3616250.0
2003-08-31,3596400.0
2003-09-30,3575750.0
2003-10-31,3486250.0
2003-11-30,3373400.0
2003-12-31,3270250.0
2004-01-31,3148200.0
2004-02-29,3114750.0
2004-03-31,3046250.0
2004-04-30,3000750.0
2004-05-31,2975600.0
2004-06-30,2950750.0
2004-07-31,2917000.0
2004-08-31,2891500.0
2004-09-30,2862750.0
2004-10-31,2778000.0
2004-11-30,2734500.0
2004-12-31,2719000.0
2005-01-31,2723800.0
2005-02-28,2686500.0
2005-03-31,2659500.0
2005-04-30,2604400.0
2005-05-31,2586250.0
2005-06-30,2600000.0
2005-07-31,2595200.0
2005-08-31,2580750.0
2005-09-30,2716500.0
2005-10-31,2803400.0
2005-11-30,2701250.0
2005-12-31,2639400.0
2006-01-31,2557000.0
2006-02-28,2507250.0
2006-03-31,2455500.0
2006-04-30,2401000.0
2006-05-31,2383750.0
2006-06-30,2408500.0
2006-07-31,2449400.0
2006-08-31,2466250.0
2006-09-30,2446200.0
2006-10-31,2446250.0
2006-11-30,2476000.0
2006-12-31,2481200.0
2007-01-31,2524250.0
2007-02-28,2569250.0
2007-03-31,2519000.0
2007-04-30,2496000.0
2007-05-31,2447750.0
2007-06-30,2482000.0
2007-07-31,2542250.0
2007-08-31,2553000.0
2007-09-30,2537200.0
2007-10-31,2561750.0
2007-11-30,2616750.0
2007-12-31,2712000.0
2008-01-31,2798750.0
2008-02-29,2844250.0
2008-03-31,2912800.0
2008-04-30,2964000.0
2008-05-31,3013600.0
2008-06-30,3057750.0
2008-07-31,3176250.0
